iter	Passed	Remaining
759	121706	38433
760	121870	38274
761	122050	38120
762	122212	37961
763	122366	37799
764	122524	37638
765	122680	37476
766	122841	37316
767	122995	37154
768	123159	36995
769	123318	36835
770	123476	36674
771	123635	36514
772	123788	36351
773	123956	36193
774	124139	36040
775	124306	35882
776	124477	35725
777	124644	35567
778	124808	35407
779	124975	35249
780	125152	35093
781	125306	34932
782	125462	34770
783	125618	34609
784	125774	34447
785	125940	34289
786	126101	34129
787	126255	33967
788	126409	33805
789	126564	33643
790	126722	33482
791	126879	33321
792	127043	33162
793	127205	33002
794	127362	32841
795	127517	32680
796	127670	32518
797	127829	32357
798	127999	32200
799	128176	32044
800	128336	31883
801	128493	31722
802	128650	31561
803	128807	31400
804	128962	31239
805	129125	31079
806	129281	30918
807	129437	30757
808	129593	30596
809	129766	30438
810	129927	30279
811	130092	30120
812	130250	29959
813	130407	29798
814	130562	29636
815	130720	29476
816	130879	29315
817	131053	29158
818	131209	28997
819	131365	28836
820	131522	28675
821	131678	28514
822	131834	28353
823	131996	28193
824	132163	28034
825	132327	27875
826	132482	27713
827	132637	27552
828	132793	27391
829	132952	27231
830	133112	27070
831	133270	26910
832	133429	26749
833	133583	26588
834	133740	26427
835	133896	26266
836	134073	26109
837	134234	25949
838	134395	25789
839	134554	25629
840	134711	25468
841	134868	25307
842	135035	25148
843	135215	24992
844	135380	24833
845	135538	24672
846	135691	24510
847	135846	24349
848	136002	24188
849	136167	24029
850	136322	23868
851	136480	23707
852	136635	23546
853	136791	23385
854	136949	23225
855	137121	23067
856	137279	22906
857	137436	22745
858	137593	22585
859	137748	22424
860	137903	22263
861	138073	22104
862	138228	21943
863	138386	21783
864	138548	21623
865	138703	21462
866	138865	21302
867	139025	21142
868	139190	20982
869	139346	20821
870	139505	20661
871	139661	20500
872	139817	20340
873	139973	20179
874	140141	20020
875	140295	19859
876	140450	19698
877	140605	19537
878	140759	19376
879	140918	19216
880	141080	19056
881	141235	18895
882	141390	18734
883	141548	18574
884	141701	18413
885	141863	18253
886	142037	18094
887	142205	17935
888	142373	17776
889	142529	17615
890	142686	17455
891	142842	17294
892	143010	17135
893	143172	16975
894	143330	16815
895	143489	16655
896	143646	16494
897	143801	16333
898	143958	16173
899	144120	16013
900	144277	15852
901	144435	15692
902	144594	15532
903	144750	15371
904	144905	15211
905	145067	15051
906	145236	14891
907	145403	14732
908	145564	14572
909	145723	14412
910	145880	14251
911	146048	14092
912	146215	13932
913	146379	13773
914	146537	13612
915	146690	13451
916	146848	13291
917	147010	13131
918	147172	12971
919	147328	12811
920	147485	12650
921	147643	12490
922	147797	12329
923	147954	12169
924	148119	12009
925	148279	11849
926	148434	11689
927	148590	11528
928	148745	11368
929	148904	11207
930	149068	11048
931	149226	10887
932	149381	10727
933	149534	10566
934	149691	10406
935	149847	10245
936	150017	10086
937	150174	9926
938	150337	9766
939	150494	9606
940	150653	9445
941	150809	9285
942	150968	9125
943	151136	8965
944	151300	8805
945	151456	8645
946	151614	8485
947	151770	8324
948	151929	8164
949	152095	8005
950	152251	7844
951	152406	7684
952	152560	7523
953	152718	7363
954	152875	7203
955	153038	7043
956	153198	6883
957	153360	6723
958	153517	6563
959	153673	6403
960	153835	6243
961	154000	6083
962	154170	5923
963	154331	5763
964	154487	5603
965	154642	5442
966	154799	5282
967	154955	5122
968	155117	4962
969	155277	4802
970	155435	4642
971	155592	4482
972	155750	4321
973	155906	4161
974	156070	4001
975	156225	3841
976	156387	3681
977	156543	3521
978	156697	3361
979	156851	3201
980	157013	3041
981	157176	2881
982	157330	2720
983	157487	2560
984	157642	2400
985	157796	2240
986	157954	2080
987	158116	1920
988	158274	1760
989	158439	1600
990	158598	1440
991	158754	1280
992	158914	1120
993	159078	960
994	159233	800
995	159389	640
996	159544	480
997	159700	320
998	159854	160
999	160020	0
